customer_id,Recency,Frequency,Monetary,cart_size,customer_satisfaction,customer_age_group,customer_gender,region,store_location_type,is_rewards_member,order_channel,KMeans_Segment,LCA_Segment
CUST_00001,41,12,174.6,3.6666666666666665,3.25,35-44,Male,Southwest,Suburban,1,Drive-Thru,0,1
CUST_00002,62,13,207.18,4.076923076923077,4.076923076923077,25-34,Male,Midwest,Urban,0,Mobile App,3,0
CUST_00003,84,5,79.71,4.2,3.4,35-44,Female,Southwest,Rural,0,Mobile App,0,0
CUST_00004,146,7,95.85,3.5714285714285716,4.142857142857143,45-54,Male,West,Rural,0,Drive-Thru,3,1
CUST_00005,80,3,47.45,4.666666666666667,3.6666666666666665,25-34,Male,Northeast,Suburban,0,Drive-Thru,2,0
CUST_00007,82,8,128.88,4.375,3.25,18-24,Male,Midwest,Rural,0,Drive-Thru,3,0
CUST_00008,24,5,67.62,3.6,2.8,35-44,Female,Southwest,Urban,0,In-Store Cashier,0,1
CUST_00009,77,6,99.71,3.8333333333333335,4.0,25-34,Female,Southwest,Urban,1,Mobile App,0,0
CUST_00010,95,7,90.06,3.0,3.4285714285714284,45-54,Male,Southwest,Suburban,1,Mobile App,0,0
CUST_00011,180,8,104.4,3.25,4.25,45-54,Female,West,Urban,0,In-Store Cashier,3,1
CUST_00012,44,5,93.45,4.8,3.0,25-34,Male,Northeast,Suburban,0,Mobile App,2,0
CUST_00013,175,8,123.08,4.25,3.25,55+,Male,West,Urban,0,In-Store Cashier,3,1
CUST_00014,365,3,36.46,4.0,2.6666666666666665,18-24,Male,Southeast,Urban,0,Drive-Thru,1,0
CUST_00015,39,4,65.03,3.75,2.5,45-54,Female,West,Suburban,1,Kiosk,3,1
CUST_00016,21,11,158.51,3.909090909090909,4.090909090909091,45-54,Female,West,Urban,1,Mobile App,3,0
CUST_00017,56,9,140.82,4.555555555555555,3.2222222222222223,35-44,Prefer not to say,West,Rural,0,In-Store Cashier,3,1
CUST_00018,23,6,77.21,3.0,4.166666666666667,25-34,Female,West,Urban,0,Mobile App,3,0
CUST_00019,19,7,115.34,3.4285714285714284,4.142857142857143,45-54,Female,Southeast,Urban,1,Mobile App,1,0
CUST_00020,269,3,32.19,2.6666666666666665,3.6666666666666665,45-54,Female,Southwest,Urban,0,Drive-Thru,0,1
CUST_00021,79,6,71.91,2.8333333333333335,3.1666666666666665,35-44,Male,Northeast,Suburban,0,Drive-Thru,2,1
CUST_00022,2,5,74.13,3.4,3.8,25-34,Male,Southeast,Urban,0,Mobile App,1,0
CUST_00023,72,4,71.82,4.5,3.25,18-24,Male,Northeast,Urban,0,Mobile App,2,0
CUST_00024,155,4,70.22,4.5,3.5,18-24,Male,Southeast,Rural,1,Mobile App,1,0
CUST_00025,239,4,69.84,4.25,3.25,35-44,Male,Southwest,Rural,0,Drive-Thru,0,1
CUST_00026,197,5,57.080000000000005,2.8,3.4,25-34,Male,Midwest,Suburban,0,Drive-Thru,3,0
CUST_00027,17,9,154.09,4.444444444444445,4.111111111111111,25-34,Non-binary,Midwest,Urban,0,Mobile App,3,0
CUST_00028,5,10,154.28,4.4,3.4,35-44,Female,Northeast,Suburban,1,Drive-Thru,2,1
CUST_00029,37,9,148.73,4.444444444444445,3.888888888888889,18-24,Female,Midwest,Urban,0,Drive-Thru,3,0
CUST_00030,41,5,84.2,3.8,4.0,18-24,Male,Midwest,Suburban,0,Mobile App,3,0
CUST_00031,3,11,130.38,3.0,3.1818181818181817,55+,Female,Southeast,Suburban,1,In-Store Cashier,1,1
CUST_00032,144,4,75.5,5.0,3.5,35-44,Female,West,Suburban,1,In-Store Cashier,3,1
CUST_00033,64,8,113.6,3.25,3.5,45-54,Female,Northeast,Urban,1,Mobile App,2,0
CUST_00034,28,5,61.91,3.6,3.8,25-34,Male,Southeast,Rural,0,Drive-Thru,1,0
CUST_00035,198,3,51.989999999999995,3.6666666666666665,3.6666666666666665,25-34,Male,Northeast,Urban,1,Mobile App,2,0
CUST_00036,14,6,99.1,4.166666666666667,4.0,25-34,Non-binary,Southeast,Rural,0,Mobile App,1,0
CUST_00037,115,6,95.81,4.333333333333333,4.166666666666667,45-54,Male,West,Suburban,0,Mobile App,3,0
CUST_00038,16,13,181.68,3.6923076923076925,4.153846153846154,35-44,Male,Midwest,Urban,1,In-Store Cashier,3,1
CUST_00039,97,9,144.31,4.444444444444445,3.888888888888889,55+,Female,Southwest,Rural,0,Drive-Thru,0,1
CUST_00040,385,3,39.980000000000004,3.6666666666666665,4.333333333333333,25-34,Male,Northeast,Rural,0,Drive-Thru,2,0
CUST_00041,15,7,76.44,2.4285714285714284,3.4285714285714284,35-44,Male,Midwest,Urban,1,Drive-Thru,3,1
CUST_00042,233,5,87.18,4.8,3.4,35-44,Female,Midwest,Urban,1,Drive-Thru,3,1
CUST_00043,16,6,99.82,4.0,4.166666666666667,25-34,Male,West,Suburban,1,Mobile App,3,0
CUST_00044,3,14,170.34,3.0714285714285716,3.5,55+,Female,West,Suburban,1,In-Store Cashier,3,1
CUST_00045,524,4,38.53,2.0,3.25,18-24,Male,Southwest,Urban,1,Drive-Thru,0,0
CUST_00046,34,6,84.67,3.3333333333333335,3.1666666666666665,18-24,Female,Northeast,Suburban,0,Drive-Thru,2,0
CUST_00047,312,3,57.120000000000005,5.333333333333333,3.0,45-54,Male,Northeast,Suburban,0,Mobile App,2,0
CUST_00048,459,1,23.76,6.0,5.0,18-24,Male,West,Rural,1,Mobile App,3,0
CUST_00049,21,8,107.24,3.5,3.625,55+,Female,Northeast,Urban,0,Drive-Thru,2,1
CUST_00050,35,7,88.24000000000001,3.142857142857143,4.0,55+,Female,Southeast,Suburban,0,In-Store Cashier,1,1
CUST_00051,53,9,110.48,3.111111111111111,3.7777777777777777,18-24,Female,Midwest,Urban,0,Drive-Thru,3,0
CUST_00052,186,7,71.76,2.7142857142857144,3.2857142857142856,35-44,Female,Southeast,Suburban,0,In-Store Cashier,1,1
CUST_00053,60,8,111.97,3.625,2.875,25-34,Female,Southwest,Suburban,1,Mobile App,0,0
CUST_00054,158,5,45.489999999999995,2.4,3.6,18-24,Male,Southwest,Urban,0,Drive-Thru,0,0
CUST_00055,70,6,106.28,4.0,4.5,25-34,Prefer not to say,West,Suburban,0,Mobile App,3,0
CUST_00056,85,6,89.38,3.8333333333333335,4.0,45-54,Male,Southwest,Rural,0,Kiosk,0,1
CUST_00057,584,2,31.09,4.5,3.0,35-44,Male,Midwest,Suburban,0,Drive-Thru,3,1
CUST_00058,57,10,128.49,3.2,2.8,55+,Female,West,Urban,0,In-Store Cashier,3,1
CUST_00059,52,10,199.93,4.9,3.3,25-34,Female,Southeast,Urban,1,Mobile App,1,0
CUST_00060,82,10,127.77,3.2,3.3,35-44,Male,Northeast,Suburban,1,Mobile App,2,0
CUST_00061,156,5,93.57,4.8,2.8,45-54,Female,West,Suburban,1,Mobile App,3,0
CUST_00062,222,6,64.99,2.8333333333333335,3.8333333333333335,45-54,Female,West,Suburban,0,Drive-Thru,3,1
CUST_00063,114,11,172.27,3.6363636363636362,4.363636363636363,18-24,Male,Midwest,Rural,1,Mobile App,3,0
